transfer_mode,protocol_name,display_name,masked_total,active_total_nominal,sensor,variable,rmse,mae,r2
lab1_reference,lab2_all13,Lab2 all 13 active,0,13,1,temperature,0.19351331767191668,0.13019265234470367,0.9065570597082888
lab1_reference,lab2_all13,Lab2 all 13 active,0,13,1,humidity,0.6572297820285882,0.4677027761936188,0.9853534259516377
lab1_reference,lab2_all13,Lab2 all 13 active,0,13,2,temperature,0.09402473249126052,0.07027096301317215,0.9890963852836054
lab1_reference,lab2_all13,Lab2 all 13 active,0,13,2,humidity,0.38164187521910314,0.27004894614219666,0.9948641429290408
lab1_reference,lab2_all13,Lab2 all 13 active,0,13,3,temperature,0.08403875287186793,0.06666786968708038,0.9870892044028138
lab1_reference,lab2_all13,Lab2 all 13 active,0,13,3,humidity,0.488774378673437,0.4017656445503235,0.9909228055391126
lab1_reference,lab2_all13,Lab2 all 13 active,0,13,4,temperature,0.0839850154009511,0.06721112877130508,0.9804063144906626
lab1_reference,lab2_all13,Lab2 all 13 active,0,13,4,humidity,0.42546048462089453,0.33987316489219666,0.9920878201720714
lab1_reference,lab2_all13,Lab2 all 13 active,0,13,5,temperature,0.05619493610643701,0.04502072185277939,0.992551394136343
lab1_reference,lab2_all13,Lab2 all 13 active,0,13,5,humidity,0.3236849308350216,0.2585957944393158,0.9960013407976053
lab1_reference,lab2_all13,Lab2 all 13 active,0,13,6,temperature,0.11523163921535444,0.07848520576953888,0.9883106734947111
lab1_reference,lab2_all13,Lab2 all 13 active,0,13,6,humidity,0.5308334456532997,0.37327882647514343,0.9914138632657525
lab1_reference,lab2_all13,Lab2 all 13 active,0,13,7,temperature,0.05300391814348199,0.03756094351410866,0.993567771512207
lab1_reference,lab2_all13,Lab2 all 13 active,0,13,7,humidity,0.31570596081489727,0.22063817083835602,0.9959983633264169
lab1_reference,lab2_all13,Lab2 all 13 active,0,13,8,temperature,0.06666226333676833,0.04864693805575371,0.991079499533741
lab1_reference,lab2_all13,Lab2 all 13 active,0,13,8,humidity,0.2114793299991685,0.15579205751419067,0.9984325513228053
lab1_reference,lab2_all13,Lab2 all 13 active,0,13,9,temperature,0.09958195776501425,0.07650081068277359,0.9850959793399863
lab1_reference,lab2_all13,Lab2 all 13 active,0,13,9,humidity,0.4249008946710775,0.3311833441257477,0.9942750955034334
lab1_reference,lab2_all13,Lab2 all 13 active,0,13,10,temperature,0.07010978710150363,0.05122748017311096,0.9891467537789828
lab1_reference,lab2_all13,Lab2 all 13 active,0,13,10,humidity,0.32359331772875316,0.23980236053466797,0.9959776564749434
lab1_reference,lab2_all13,Lab2 all 13 active,0,13,11,temperature,0.09315392620997892,0.06236875057220459,0.9815628274282455
lab1_reference,lab2_all13,Lab2 all 13 active,0,13,11,humidity,0.308580048172407,0.23588266968727112,0.9960548224190628
lab1_reference,lab2_all13,Lab2 all 13 active,0,13,12,temperature,0.06749578694048042,0.04595767706632614,0.9904568634325883
lab1_reference,lab2_all13,Lab2 all 13 active,0,13,12,humidity,0.30818052027667636,0.21622802317142487,0.9966893237923244
lab1_reference,lab2_all13,Lab2 all 13 active,0,13,13,temperature,0.5186276716750537,0.21733298897743225,0.7891861313965607
